""	"sample"	"tumor"	"tissue"	"seq"	"type"	"dataset"
"45"	"phs001866_AP_234"	"Metastatic tumor"	"Bone"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"46"	"phs001866_AP_203"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"47"	"phs001866_AP_209"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"48"	"phs001866_AP_215"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"49"	"phs001866_AP_233"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"50"	"phs001866_AP_205"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"51"	"phs001866_AP_217"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"52"	"phs001866_AP_236"	"Metastatic tumor"	"Ovary"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"53"	"phs001866_AP_232"	"Metastatic tumor"	"Pleura"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"54"	"phs001866_AP_224"	"Metastatic tumor"	"Liver"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"55"	"phs001866_AP_223"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"56"	"phs001866_AP_231"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"57"	"phs001866_AP_87"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"58"	"phs001866_AP_93"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"59"	"phs001866_AP_99"	"Metastatic tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"60"	"phs001866_AP_96"	"Metastatic tumor"	"Bone"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"61"	"phs001866_AP_86"	"Metastatic tumor"	"Ovary"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"62"	"phs001866_AP_92"	"Metastatic tumor"	"Bone"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"63"	"phs001866_AP_98"	"Metastatic tumor"	"Lymph node"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"64"	"phs001866_AP_85"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"65"	"phs001866_AP_91"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"66"	"phs001866_AP_97"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"67"	"phs001866_AP_88"	"Metastatic tumor"	"Liver"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"68"	"phs001866_AP_94"	"Metastatic tumor"	"Bone"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"69"	"phs001866_AP_100"	"Primary tumor"	"Liver"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"70"	"phs001866_AP_95"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"71"	"phs001866_AP_220"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"72"	"phs001866_AP_186"	"Metastatic tumor"	"Ovary"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"73"	"phs001866_AP_192"	"Metastatic tumor"	"Peritoneum"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"74"	"phs001866_AP_197"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"75"	"phs001866_AP_190"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"76"	"phs001866_AP_195"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"77"	"phs001866_AP_188"	"Metastatic tumor"	"Liver"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"78"	"phs001866_AP_193"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"79"	"phs001866_AP_187"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"80"	"phs001866_AP_198"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"81"	"phs001866_AP_189"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"82"	"phs001866_AP_194"	"Metastatic tumor"	"Lymph node"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"83"	"phs001866_AP_219"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"84"	"phs001866_AP_185"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"85"	"phs001866_AP_191"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"86"	"phs001866_AP_196"	"Metastatic tumor"	"Liver"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"87"	"phs001866_AP_230"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"88"	"phs001866_AP_228"	"Metastatic tumor"	"Bone"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"89"	"phs001866_AP_227"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"90"	"phs001866_AP_229"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"91"	"phs001866_AP_105"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"92"	"phs001866_AP_111"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"93"	"phs001866_AP_108"	"Metastatic tumor"	"Pleura"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"94"	"phs001866_AP_114"	"Metastatic tumor"	"Lung"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"95"	"phs001866_AP_110"	"Metastatic tumor"	"Bone"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"96"	"phs001866_AP_116"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"97"	"phs001866_AP_109"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"98"	"phs001866_AP_115"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"99"	"phs001866_AP_106"	"Metastatic tumor"	"Lymph node"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"100"	"phs001866_AP_112"	"Metastatic tumor"	"Liver"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"101"	"phs001866_AP_107"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"102"	"phs001866_AP_113"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"103"	"phs001866_AP_133"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"104"	"phs001866_AP_145"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"105"	"phs001866_AP_131"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"106"	"phs001866_AP_143"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"107"	"phs001866_AP_149"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"108"	"phs001866_AP_135"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"109"	"phs001866_AP_141"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"110"	"phs001866_AP_147"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"111"	"phs001866_AP_134"	"Metastatic tumor"	"Lymph node"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"112"	"phs001866_AP_146"	"Metastatic tumor"	"Lung"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"113"	"phs001866_AP_136"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"114"	"phs001866_AP_142"	"Metastatic tumor"	"Liver"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"115"	"phs001866_AP_148"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"116"	"phs001866_AP_132"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"117"	"phs001866_AP_144"	"Metastatic tumor"	"Ovary"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"118"	"phs001866_AP_150"	"Metastatic tumor"	"Pericardium"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"119"	"phs001866_AP_237"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"120"	"phs001866_AP_243"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"121"	"phs001866_AP_241"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"122"	"phs001866_AP_222"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"123"	"phs001866_AP_245"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"124"	"phs001866_AP_221"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"125"	"phs001866_AP_238"	"Metastatic tumor"	"Lymph node"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"126"	"phs001866_AP_244"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"127"	"phs001866_AP_246"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"128"	"phs001866_AP_242"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"129"	"phs001866_AP_151"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"130"	"phs001866_AP_157"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"131"	"phs001866_AP_168"	"Metastatic tumor"	"Lymph node"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"132"	"phs001866_AP_155"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"133"	"phs001866_AP_161"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"134"	"phs001866_AP_166"	"Metastatic tumor"	"Lymph node"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"135"	"phs001866_AP_153"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"136"	"phs001866_AP_164"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"137"	"phs001866_AP_152"	"Metastatic tumor"	"Endometrial"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"138"	"phs001866_AP_158"	"Metastatic tumor"	"Bowel"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"139"	"phs001866_AP_163"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"140"	"phs001866_AP_154"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"141"	"phs001866_AP_165"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"142"	"phs001866_AP_156"	"Metastatic tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"143"	"phs001866_AP_162"	"Metastatic tumor"	"Ovary"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"144"	"phs001866_AP_167"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"145"	"phs001866_AP_174"	"Metastatic tumor"	"Lymph node"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"146"	"phs001866_AP_180"	"Metastatic tumor"	"Lymph node"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"147"	"phs001866_AP_172"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"148"	"phs001866_AP_178"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"149"	"phs001866_AP_184"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"150"	"phs001866_AP_170"	"Metastatic tumor"	"Lymph node"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"151"	"phs001866_AP_176"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"152"	"phs001866_AP_182"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"153"	"phs001866_AP_169"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"154"	"phs001866_AP_175"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"155"	"phs001866_AP_181"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"156"	"phs001866_AP_171"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"157"	"phs001866_AP_177"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"158"	"phs001866_AP_183"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"159"	"phs001866_AP_173"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"160"	"phs001866_AP_179"	"Primary tumor"	"Breast"	"Illumina HiSeq 2500"	"Fresh frozen"	"Geicam"
"161"	"phs001866_AP_208"	"Metastatic tumor"	"Pleura"	"Illumina HiSeq 4000"	"Fresh frozen"	"Geicam"
"162"	"phs001866_AP_226"	"Metastatic tumor"	"Skin"	"Illumina HiSeq 4000"	"Fresh frozen"	"Geicam"
"163"	"phs001866_AP_199"	"Primary tumor"	"Breast"	"Illumina HiSeq 4000"	"Fresh frozen"	"Geicam"
"164"	"phs001866_AP_200"	"Metastatic tumor"	"Lung"	"Illumina HiSeq 4000"	"Fresh frozen"	"Geicam"
"165"	"phs001866_AP_207"	"Primary tumor"	"Breast"	"Illumina HiSeq 4000"	"Fresh frozen"	"Geicam"
"166"	"phs001866_AP_225"	"Primary tumor"	"Breast"	"Illumina HiSeq 4000"	"Fresh frozen"	"Geicam"
